22-01-2020,2,0,0,Japan
23-01-2020,2,0,0,Japan
24-01-2020,2,0,0,Japan
25-01-2020,2,0,0,Japan
26-01-2020,4,0,1,Japan
27-01-2020,4,0,1,Japan
28-01-2020,7,0,1,Japan
29-01-2020,7,0,1,Japan
30-01-2020,11,0,1,Japan
31-01-2020,15,0,1,Japan
01-02-2020,20,0,1,Japan
02-02-2020,20,0,1,Japan
03-02-2020,20,0,1,Japan
04-02-2020,22,0,1,Japan
05-02-2020,23,0,1,Japan
06-02-2020,23,0,1,Japan
07-02-2020,23,0,1,Japan
08-02-2020,24,0,1,Japan
09-02-2020,24,0,1,Japan
10-02-2020,26,0,4,Japan
11-02-2020,27,0,9,Japan
12-02-2020,28,0,9,Japan
13-02-2020,33,1,9,Japan
14-02-2020,43,1,9,Japan
15-02-2020,54,1,12,Japan
16-02-2020,60,1,12,Japan
17-02-2020,67,1,12,Japan
18-02-2020,79,2,13,Japan
19-02-2020,85,2,18,Japan
20-02-2020,95,2,18,Japan
21-02-2020,112,2,22,Japan
22-02-2020,137,2,22,Japan
23-02-2020,149,2,22,Japan
24-02-2020,160,2,22,Japan
25-02-2020,173,3,22,Japan
26-02-2020,192,3,22,Japan
27-02-2020,218,4,22,Japan
28-02-2020,236,5,22,Japan
29-02-2020,245,6,32,Japan
01-03-2020,259,6,32,Japan
02-03-2020,278,6,32,Japan
03-03-2020,298,6,43,Japan
04-03-2020,333,7,43,Japan
05-03-2020,365,7,43,Japan
06-03-2020,420,7,46,Japan
07-03-2020,466,7,76,Japan
08-03-2020,499,8,76,Japan
09-03-2020,527,10,76,Japan
10-03-2020,585,13,101,Japan
11-03-2020,640,15,118,Japan
12-03-2020,696,19,118,Japan
13-03-2020,733,21,118,Japan
14-03-2020,795,22,118,Japan
15-03-2020,826,24,118,Japan
16-03-2020,843,30,144,Japan
17-03-2020,893,30,144,Japan
18-03-2020,928,32,144,Japan
19-03-2020,968,33,150,Japan
20-03-2020,1022,34,191,Japan
21-03-2020,1059,36,232,Japan
22-03-2020,1104,40,235,Japan
23-03-2020,1144,41,235,Japan
24-03-2020,1217,42,285,Japan
25-03-2020,1314,45,310,Japan
26-03-2020,1416,47,359,Japan
27-03-2020,1530,53,372,Japan
28-03-2020,1728,56,404,Japan
29-03-2020,1907,63,424,Japan
30-03-2020,2001,65,424,Japan
31-03-2020,2255,67,424,Japan
01-04-2020,2535,72,472,Japan
02-04-2020,2818,75,472,Japan
03-04-2020,3154,81,514,Japan
04-04-2020,3525,87,514,Japan
05-04-2020,3876,93,514,Japan
06-04-2020,4110,96,575,Japan
07-04-2020,4485,98,592,Japan
08-04-2020,5020,105,622,Japan
09-04-2020,5614,113,632,Japan
10-04-2020,6250,125,685,Japan
11-04-2020,6951,138,762,Japan
12-04-2020,7473,147,762,Japan
